Mês Ano,Órgão Superior,Órgão/Entidade Vinculada,Valor Empenhado,Valor Liquidado,Valor Pago,Valor Restos a Pagar Pagos,,,,
dez/17,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,-29.091.422,11,321.350.999,71,320.772.024,6,16.171.505,96
jul/17,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,536.986.181,16,27.255.761,26,25.305.726,16,5.908.292,55
set/17,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,109.052.538,17,58.029.167,22,59.351.052,34,20.774.321,90
out/17,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,97.190.465,82,284.214.239,39,284.599.684,37,611.152,94
jan/17,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,136.446.269,36,7.995.681,90,7.977.750,45,26.701.915,43
jun/17,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,112.229.220,13,27.176.520,12,27.166.215,46,44.054.239,92
nov/16,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,71.434.353,25,62.787.789,1,63.632.074,48,9.737.555,39
out/16,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,86.522.904,3,385.816.012,6,385.112.983,93,6.565.412,60
abr/16,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,31.246.369,0,19.072.794,90,19.870.723,64,58.249.336,70
fev/16,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,45.018.627,22,13.380.846,87,15.286.864,57,12.567.493,65
jul/16,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,580.905.543,82,17.875.995,84,17.894.792,67,41.398.723,13
jan/16,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,96.595.900,45,8.052.024,42,5.973.571,78,90.472.329,80
set/16,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,194.127.630,44,78.570.662,31,78.467.512,26,0,
ago/16,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,43.964.133,84,39.671.231,22,39.661.649,23,2.134.759,85
jun/16,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,124.614.091,33,22.855.691,9,22.962.969,26,89.441.313,84
mai/16,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,32.121.966,84,26.021.720,41,25.860.559,74,50.994.993,54
dez/16,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,-17.800.825,2,200.644.712,80,200.654.218,27,5.514.124,16
mar/16,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,66.589.587,68,19.036.540,95,18.403.695,65,7.747.105,72
set/15,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,294.073.649,70,75.307.866,3,108.099.169,80,6.071.631,43
fev/15,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,67.004.593,88,20.253.543,70,10.794.364,5,8.979.483,87
mai/15,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,66.868.162,89,47.614.269,11,38.201.806,71,8.743.989,69
nov/15,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,-11.300.257,80,270.919.765,46,225.070.696,70,1.280.553,38
dez/15,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,-20.721.001,22,73.113.862,18,118.274.296,17,900.751,80
jan/15,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,47.321.824,95,8.879.863,32,8.240.751,25,96.784.272,26
jul/15,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,130.028.252,23,55.483.256,2,42.247.965,41,9.513.570,23
abr/15,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,48.095.676,90,21.771.838,71,22.627.835,96,13.528.957,80
ago/15,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,31.248.178,41,24.653.673,22,19.063.313,4,24.046,16
jun/15,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,56.632.836,2,30.998.355,47,29.851.699,36,10.091.699,90
out/15,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,526.590.249,82,188.782.027,2,190.277.474,76,-2.678,29
mar/15,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,49.842.000,91,17.299.608,49,19.269.315,88,68.438.547,2
